word_occurrence_id,text_embedding_idx,word_position,surface_form,char_start,char_end,keyword_id,canonical_concept,semantic_categories,story_local_flag,include_core,include_main,include_extended
lp:22:word:2,22,2,写,2,3,,写,,,false,false,false
lp:22:word:3,22,3,道,3,4,lpw_00a9d5bd97,道,other,false,false,false,false
lp:23:word:0,23,0,蟒蛇,1,3,lpw_7d2bda9879,蟒蛇,other,true,false,false,false
lp:23:word:1,23,1,把,3,4,lpw_2442748e41,把,function,false,false,true,true
lp:23:word:2,23,2,猎物,4,6,,猎物,,,false,false,false
lp:23:word:3,23,3,囫,6,7,,囫,,,false,false,false
lp:23:word:4,23,4,囵,7,8,,囵,,,false,false,false
lp:23:word:5,23,5,吞下,8,10,,吞下,,,false,false,false
lp:24:word:0,24,0,嚼,0,1,,嚼,,,false,false,false
lp:24:word:1,24,1,都不,1,3,,都不,,,false,false,false
lp:24:word:2,24,2,嚼,3,4,,嚼,,,false,false,false
lp:25:word:0,25,0,然后,0,2,lpw_ca4f5ee82e,然后,other,false,false,false,false
lp:25:word:1,25,1,它,2,3,lpw_7e9260e925,它,pronoun,false,true,true,true
lp:25:word:2,25,2,就,3,4,lpw_2f9d9872e5,就,function,false,true,true,true
lp:25:word:3,25,3,无法,4,6,,无法,,,false,false,false
lp:25:word:4,25,4,动弹,6,8,,动弹,,,false,false,false
lp:26:word:0,26,0,躺上,0,2,,躺上,,,false,false,false
lp:26:word:1,26,1,六个月,2,5,,六个月,,,false,false,false
lp:26:word:2,26,2,来,5,6,lpw_6d8229118c,来,physical_action,false,true,true,true
lp:26:word:3,26,3,消化,6,8,,消化,,,false,false,false
lp:26:word:4,26,4,它们,8,10,lpw_c40b3d2880,它们,pronoun,false,false,true,true
lp:27:word:0,27,0,当时,0,2,,当时,,,false,false,false
lp:28:word:0,28,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:28:word:1,28,1,对,1,2,lpw_74570c7270,对,function,false,true,true,true
lp:28:word:2,28,2,丛林,2,4,,丛林,,,false,false,false
lp:28:word:3,28,3,里,4,5,lpw_79f43de6e3,里,function,false,false,true,true
lp:28:word:4,28,4,的,5,6,lpw_8af2350cfd,的,function,false,true,true,true
lp:28:word:5,28,5,奇妙,6,8,,奇妙,,,false,false,false
lp:28:word:6,28,6,景象,8,10,,景象,,,false,false,false
lp:28:word:7,28,7,想得,10,12,,想得,,,false,false,false
lp:28:word:8,28,8,很多,12,14,,很多,,,false,false,false
lp:29:word:0,29,0,于是,0,2,lpw_3617c85a66,于是,other,false,false,false,false
lp:29:word:1,29,1,我也,2,4,,我也,,,false,false,false
lp:29:word:2,29,2,用,4,5,lpw_04e45efb3b,用,other,false,false,false,true
lp:29:word:3,29,3,彩色,5,7,,彩色,,,false,false,false
lp:29:word:4,29,4,铅笔,7,9,,铅笔,,,false,false,false
lp:29:word:5,29,5,画,9,10,lpw_de9f18b00a,画,physical_action,true,false,false,false
lp:29:word:6,29,6,了,10,11,lpw_b2dd27e84f,了,function,false,true,true,true
lp:29:word:7,29,7,我,11,12,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:29:word:8,29,8,的,12,13,lpw_8af2350cfd,的,function,false,true,true,true
lp:29:word:9,29,9,第一,13,15,,第一,,,false,false,false
lp:29:word:10,29,10,幅,15,16,,幅,,,false,false,false
lp:29:word:11,29,11,画,16,17,lpw_de9f18b00a,画,physical_action,true,false,false,false
lp:30:word:0,30,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:30:word:1,30,1,的,1,2,lpw_8af2350cfd,的,function,false,true,true,true
lp:30:word:2,30,2,作品,2,4,,作品,,,false,false,false
lp:30:word:3,30,3,一号,4,6,,一号,,,false,false,false
lp:31:word:0,31,0,它,0,1,lpw_7e9260e925,它,pronoun,false,true,true,true
lp:31:word:1,31,1,就像,1,3,lpw_3a1a30dbb2,就像,other,false,false,false,false
lp:31:word:2,31,2,这样,3,5,lpw_b7fc681861,这样,other,false,false,true,true
lp:32:word:0,32,0,我把,0,2,lpw_5ebf3d1bfd,我把,other,false,false,false,false
lp:32:word:1,32,1,这,2,3,lpw_d409ab2ab3,这,pronoun,false,true,true,true
lp:32:word:2,32,2,幅,3,4,,幅,,,false,false,false
lp:32:word:3,32,3,杰作,4,6,,杰作,,,false,false,false
lp:32:word:4,32,4,给,6,7,lpw_6e55fb9d8a,给,other,false,true,true,true
lp:32:word:5,32,5,大人,7,9,lpw_44dd6014a5,大人,narrative_character,false,false,false,true
lp:32:word:6,32,6,看,9,10,lpw_61f43315f9,看,perception,false,false,false,true
lp:33:word:0,33,0,问,0,1,lpw_4628c0e06f,问,speech,false,false,true,true
lp:33:word:1,33,1,他们,1,3,lpw_10518f8f0a,他们,pronoun,false,true,true,true
lp:33:word:2,33,2,我,3,4,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:33:word:3,33,3,的,4,5,lpw_8af2350cfd,的,function,false,true,true,true
lp:33:word:4,33,4,图画,5,7,,图画,,,false,false,false
lp:33:word:5,33,5,吓,7,8,,吓,,,false,false,false
lp:33:word:6,33,6,不,8,9,lpw_b02dfe2160,不,negation_modality,false,false,true,true
lp:33:word:7,33,7,吓,9,10,,吓,,,false,false,false
lp:33:word:8,33,8,人,10,11,lpw_50f5d65d57,人,other,false,true,true,true
lp:34:word:0,34,0,他们,0,2,lpw_10518f8f0a,他们,pronoun,false,true,true,true
lp:34:word:1,34,1,回答,2,4,lpw_f3f5126487,回答,speech,false,false,true,true
lp:34:word:2,34,2,说,4,5,lpw_ccca744613,说,speech,false,true,true,true
lp:35:word:0,35,0,一顶,1,3,,一顶,,,false,false,false
lp:35:word:1,35,1,帽子,3,5,,帽子,,,false,false,false
lp:35:word:2,35,2,怎么,5,7,lpw_5ee8091a38,怎么,interrogative,false,false,false,false
lp:35:word:3,35,3,会,7,8,lpw_5ba1e3c0eb,会,negation_modality,false,true,true,true
lp:35:word:4,35,4,吓,8,9,,吓,,,false,false,false
lp:35:word:5,35,5,人,9,10,lpw_50f5d65d57,人,other,false,true,true,true
lp:35:word:6,35,6,呢,10,11,lpw_02811cec0b,呢,function|interrogative,false,true,true,true
lp:36:word:0,36,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:36:word:1,36,1,画,1,2,lpw_de9f18b00a,画,physical_action,true,false,false,false
lp:36:word:2,36,2,的,2,3,lpw_8af2350cfd,的,function,false,true,true,true
lp:36:word:3,36,3,不是,3,5,lpw_584cd0fcf3,不是,other,false,false,false,false
lp:36:word:4,36,4,一顶,5,7,,一顶,,,false,false,false
lp:36:word:5,36,5,帽子,7,9,,帽子,,,false,false,false
lp:37:word:0,37,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:37:word:1,37,1,画,1,2,lpw_de9f18b00a,画,physical_action,true,false,false,false
lp:37:word:2,37,2,的是,2,4,lpw_5e1dc2a833,的是,other,false,false,false,false
lp:37:word:3,37,3,一条,4,6,,一条,,,false,false,false
lp:37:word:4,37,4,蟒蛇,6,8,lpw_7d2bda9879,蟒蛇,other,true,false,false,false
lp:37:word:5,37,5,在,8,9,lpw_12404a0b63,在,function,false,true,true,true
lp:37:word:6,37,6,消化,9,11,,消化,,,false,false,false
lp:37:word:7,37,7,大象,11,13,,大象,,,false,false,false
lp:38:word:0,38,0,于是,0,2,lpw_3617c85a66,于是,other,false,false,false,false
lp:38:word:1,38,1,我把,2,4,lpw_5ebf3d1bfd,我把,other,false,false,false,false
lp:38:word:2,38,2,蟒蛇,4,6,lpw_7d2bda9879,蟒蛇,other,true,false,false,false
lp:38:word:3,38,3,肚子,6,8,,肚子,,,false,false,false
lp:38:word:4,38,4,的,8,9,lpw_8af2350cfd,的,function,false,true,true,true
lp:38:word:5,38,5,内部,9,11,,内部,,,false,false,false
lp:38:word:6,38,6,画,11,12,lpw_de9f18b00a,画,physical_action,true,false,false,false
lp:38:word:7,38,7,出来,12,14,,出来,,,false,false,false
lp:39:word:0,39,0,好,0,1,lpw_f867f34178,好,other,false,false,true,true
lp:39:word:1,39,1,让,1,2,lpw_ad37574404,让,other,false,true,true,true
lp:39:word:2,39,2,这些,2,4,lpw_7a590a22cd,这些,function,false,false,false,true
lp:39:word:3,39,3,大人,4,6,lpw_44dd6014a5,大人,narrative_character,false,false,false,true
lp:39:word:4,39,4,看得,6,8,,看得,,,false,false,false
lp:39:word:5,39,5,明白,8,10,lpw_8e37cd5f7f,明白,cognition,false,false,false,false
lp:40:word:0,40,0,他们,0,2,lpw_10518f8f0a,他们,pronoun,false,true,true,true
lp:40:word:1,40,1,老是,2,4,,老是,,,false,false,false
lp:40:word:2,40,2,要,4,5,lpw_975f35218e,要,negation_modality,false,false,true,true
lp:40:word:3,40,3,人,5,6,lpw_50f5d65d57,人,other,false,true,true,true
lp:40:word:4,40,4,给,6,7,lpw_6e55fb9d8a,给,other,false,true,true,true
lp:40:word:5,40,5,他们,7,9,lpw_10518f8f0a,他们,pronoun,false,true,true,true
lp:40:word:6,40,6,解释,9,11,,解释,,,false,false,false
lp:41:word:0,41,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:41:word:1,41,1,的,1,2,lpw_8af2350cfd,的,function,false,true,true,true
lp:41:word:2,41,2,作品,2,4,,作品,,,false,false,false
lp:41:word:3,41,3,二号,4,6,,二号,,,false,false,false
lp:41:word:4,41,4,是,6,7,lpw_b5141d3d19,是,function,false,true,true,true
lp:41:word:5,41,5,这样,7,9,lpw_b7fc681861,这样,other,false,false,true,true
lp:41:word:6,41,6,的,9,10,lpw_8af2350cfd,的,function,false,true,true,true
lp:42:word:0,42,0,那些,0,2,lpw_abd258db99,那些,function,false,false,false,true
lp:42:word:1,42,1,大人,2,4,lpw_44dd6014a5,大人,narrative_character,false,false,false,true
lp:42:word:2,42,2,劝,4,5,,劝,,,false,false,false
lp:42:word:3,42,3,我,5,6,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:42:word:4,42,4,别再,6,8,,别再,,,false,false,false
lp:42:word:5,42,5,画,8,9,lpw_de9f18b00a,画,physical_action,true,false,false,false
lp:42:word:6,42,6,蟒蛇,9,11,lpw_7d2bda9879,蟒蛇,other,true,false,false,false
lp:43:word:0,43,0,甭,0,1,,甭,,,false,false,false
lp:43:word:1,43,1,管,1,2,,管,,,false,false,false
lp:43:word:2,43,2,它是,2,4,,它是,,,false,false,false
lp:43:word:3,43,3,剖,4,5,,剖,,,false,false,false
lp:43:word:4,43,4,开,5,6,lpw_39eae64cfc,开,other,true,false,false,false
lp:43:word:5,43,5,的,6,7,lpw_8af2350cfd,的,function,false,true,true,true
lp:44:word:0,44,0,还是,0,2,lpw_dfaa7d6f73,还是,other,false,false,false,false
lp:44:word:1,44,1,没,2,3,lpw_279e8b3573,没,negation_modality,false,false,true,true
lp:44:word:2,44,2,剖,3,4,,剖,,,false,false,false
lp:44:word:3,44,3,开,4,5,lpw_39eae64cfc,开,other,true,false,false,false
lp:44:word:4,44,4,的,5,6,lpw_8af2350cfd,的,function,false,true,true,true
lp:45:word:0,45,0,全都,0,2,,全都,,,false,false,false
lp:45:word:1,45,1,丢,2,3,,丢,,,false,false,false
lp:45:word:2,45,2,开,3,4,lpw_39eae64cfc,开,other,true,false,false,false
lp:46:word:0,46,0,他们,0,2,lpw_10518f8f0a,他们,pronoun,false,true,true,true
lp:46:word:1,46,1,说,2,3,lpw_ccca744613,说,speech,false,true,true,true
lp:47:word:0,47,0,我还是,0,3,,我还是,,,false,false,false
lp:47:word:1,47,1,把,3,4,lpw_2442748e41,把,function,false,false,true,true
lp:47:word:2,47,2,心思,4,6,,心思,,,false,false,false
lp:47:word:3,47,3,放在,6,8,,放在,,,false,false,false
lp:47:word:4,47,4,地理,8,10,,地理,,,false,false,false
lp:47:word:5,47,5,历史,11,13,,历史,,,false,false,false
lp:47:word:6,47,6,算术,14,16,,算术,,,false,false,false
lp:47:word:7,47,7,和,16,17,lpw_3d7114281f,和,function,false,false,true,true
lp:47:word:8,47,8,语法,17,19,,语法,,,false,false,false
lp:47:word:9,47,9,上,19,20,lpw_db5ba671d2,上,function,false,true,true,true
lp:47:word:10,47,10,好,20,21,lpw_f867f34178,好,other,false,false,true,true
lp:48:word:0,48,0,就,0,1,lpw_2f9d9872e5,就,function,false,true,true,true
lp:48:word:1,48,1,这样,1,3,lpw_b7fc681861,这样,other,false,false,true,true
lp:49:word:0,49,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:49:word:1,49,1,才,1,2,,才,,,false,false,false
lp:49:word:2,49,2,六岁,2,4,,六岁,,,false,false,false
lp:50:word:0,50,0,就,0,1,lpw_2f9d9872e5,就,function,false,true,true,true
lp:50:word:1,50,1,放弃,1,3,,放弃,,,false,false,false
lp:50:word:2,50,2,了,3,4,lpw_b2dd27e84f,了,function,false,true,true,true
lp:50:word:3,50,3,辉煌,4,6,,辉煌,,,false,false,false
lp:50:word:4,50,4,的,6,7,lpw_8af2350cfd,的,function,false,true,true,true
lp:50:word:5,50,5,画家,7,9,,画家,,,false,false,false
lp:50:word:6,50,6,生涯,9,11,,生涯,,,false,false,false
lp:51:word:0,51,0,作品,0,2,,作品,,,false,false,false
lp:51:word:1,51,1,一号,2,4,,一号,,,false,false,false
lp:51:word:2,51,2,和,4,5,lpw_3d7114281f,和,function,false,false,true,true
lp:51:word:3,51,3,作品,5,7,,作品,,,false,false,false
lp:51:word:4,51,4,二号,7,9,,二号,,,false,false,false
lp:51:word:5,51,5,都没,9,11,,都没,,,false,false,false
lp:51:word:6,51,6,成功,11,13,,成功,,,false,false,false
lp:52:word:0,52,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:52:word:1,52,1,泄了,1,3,,泄了,,,false,false,false
lp:52:word:2,52,2,气,3,4,,气,,,false,false,false
lp:53:word:0,53,0,那些,0,2,lpw_abd258db99,那些,function,false,false,false,true
lp:53:word:1,53,1,大人,2,4,lpw_44dd6014a5,大人,narrative_character,false,false,false,true
lp:53:word:2,53,2,自,4,5,,自,,,false,false,false
lp:53:word:3,53,3,个儿,5,7,,个儿,,,false,false,false
lp:53:word:4,53,4,什么,7,9,lpw_c1b52e0e64,什么,pronoun|interrogative,false,true,true,true
lp:53:word:5,53,5,也,9,10,lpw_658605835b,也,function,false,false,true,true
lp:53:word:6,53,6,弄,10,11,,弄,,,false,false,false
lp:53:word:7,53,7,不懂,11,13,,不懂,,,false,false,false
lp:54:word:0,54,0,老,0,1,,老,,,false,false,false
lp:54:word:1,54,1,要,1,2,lpw_975f35218e,要,negation_modality,false,false,true,true
lp:54:word:2,54,2,孩子,2,4,lpw_5f887419f4,孩子,narrative_character,true,false,false,false
lp:54:word:3,54,3,们,4,5,lpw_b4dcb3305a,们,other,false,false,false,false
lp:54:word:4,54,4,一遍,5,7,,一遍,,,false,false,false
lp:54:word:5,54,5,一遍,7,9,,一遍,,,false,false,false
lp:54:word:6,54,6,给,9,10,lpw_6e55fb9d8a,给,other,false,true,true,true
lp:54:word:7,54,7,他们,10,12,lpw_10518f8f0a,他们,pronoun,false,true,true,true
lp:54:word:8,54,8,解释,12,14,,解释,,,false,false,false
lp:55:word:0,55,0,真,0,1,lpw_827d018e1b,真,other,false,false,false,false
lp:55:word:1,55,1,烦,1,2,,烦,,,false,false,false
lp:55:word:2,55,2,人,2,3,lpw_50f5d65d57,人,other,false,true,true,true
lp:56:word:0,56,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:56:word:1,56,1,只好,1,3,,只好,,,false,false,false
lp:56:word:2,56,2,另外,3,5,,另外,,,false,false,false
lp:56:word:3,56,3,选择,5,7,,选择,,,false,false,false
lp:56:word:4,56,4,一个,7,9,lpw_e1dbc1c99f,一个,function|time_quantity,false,true,true,true
lp:56:word:5,56,5,职业,9,11,,职业,,,false,false,false
lp:57:word:0,57,0,学会,0,2,,学会,,,false,false,false
lp:57:word:1,57,1,了,2,3,lpw_b2dd27e84f,了,function,false,true,true,true
lp:57:word:2,57,2,开,3,4,lpw_39eae64cfc,开,other,true,false,false,false
lp:57:word:3,57,3,飞机,4,6,lpw_c05f7cd6ed,飞机,concrete_entity,true,false,false,false
lp:58:word:0,58,0,世界,0,2,,世界,,,false,false,false
lp:58:word:1,58,1,各地,2,4,,各地,,,false,false,false
lp:58:word:2,58,2,我,4,5,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:58:word:3,58,3,差不多,5,8,,差不多,,,false,false,false
lp:58:word:4,58,4,都,8,9,lpw_7eabb36ba1,都,function,false,false,true,true
lp:58:word:5,58,5,飞过,9,11,,飞过,,,false,false,false
lp:59:word:0,59,0,的确,0,2,,的确,,,false,false,false
lp:60:word:0,60,0,地理,0,2,,地理,,,false,false,false
lp:60:word:1,60,1,学,2,3,,学,,,false,false,false
lp:60:word:2,60,2,对,3,4,lpw_74570c7270,对,function,false,true,true,true
lp:60:word:3,60,3,我,4,5,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:60:word:4,60,4,非常,5,7,lpw_2ccec3b419,非常,other,false,false,false,false
lp:60:word:5,60,5,有用,7,9,,有用,,,false,false,false
lp:61:word:0,61,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:61:word:1,61,1,一眼,1,3,,一眼,,,false,false,false
lp:61:word:2,61,2,就,3,4,lpw_2f9d9872e5,就,function,false,true,true,true
lp:61:word:3,61,3,能,4,5,lpw_413c06bcef,能,other,false,false,false,false
lp:61:word:4,61,4,认出,5,7,,认出,,,false,false,false
lp:61:word:5,61,5,哪,7,8,,哪,,,false,false,false
lp:61:word:6,61,6,是,8,9,lpw_b5141d3d19,是,function,false,true,true,true
lp:61:word:7,61,7,中国,9,11,,中国,,,false,false,false
lp:62:word:0,62,0,哪,0,1,,哪,,,false,false,false
lp:62:word:1,62,1,是,1,2,lpw_b5141d3d19,是,function,false,true,true,true
lp:62:word:2,62,2,亚利桑那,2,6,,亚利桑那,,,false,false,false
lp:63:word:0,63,0,要是,0,2,lpw_467b2562ed,要是,function,false,false,false,true
lp:63:word:1,63,1,夜里,2,4,lpw_41f8d30e7f,夜里,other,false,false,false,false
lp:63:word:2,63,2,迷,4,5,,迷,,,false,false,false
lp:63:word:3,63,3,了,5,6,lpw_b2dd27e84f,了,function,false,true,true,true
lp:63:word:4,63,4,路,6,7,,路,,,false,false,false
lp:64:word:0,64,0,这,0,1,lpw_d409ab2ab3,这,pronoun,false,true,true,true
lp:64:word:1,64,1,很有,1,3,,很有,,,false,false,false
lp:64:word:2,64,2,用,3,4,lpw_04e45efb3b,用,other,false,false,false,true
lp:65:word:0,65,0,就,0,1,lpw_2f9d9872e5,就,function,false,true,true,true
lp:65:word:1,65,1,这样,1,3,lpw_b7fc681861,这样,other,false,false,true,true
lp:66:word:0,66,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:66:word:1,66,1,这,1,2,lpw_d409ab2ab3,这,pronoun,false,true,true,true
lp:66:word:2,66,2,一生,2,4,,一生,,,false,false,false
lp:66:word:3,66,3,中,4,5,lpw_a567bdaa11,中,other,false,false,false,false
lp:67:word:0,67,0,跟,0,1,lpw_383a53d95c,跟,function,false,false,false,true
lp:67:word:1,67,1,好多,1,3,,好多,,,false,false,false
lp:67:word:2,67,2,严肃,3,5,,严肃,,,false,false,false
lp:67:word:3,67,3,的,5,6,lpw_8af2350cfd,的,function,false,true,true,true
lp:67:word:4,67,4,人,6,7,lpw_50f5d65d57,人,other,false,true,true,true
lp:67:word:5,67,5,打,7,8,,打,,,false,false,false
lp:67:word:6,67,6,过,8,9,lpw_f777893480,过,other,false,false,true,true
lp:67:word:7,67,7,好多,9,11,,好多,,,false,false,false
lp:67:word:8,67,8,交道,11,13,,交道,,,false,false,false
lp:68:word:0,68,0,我在,0,2,lpw_33f40475f8,我在,other,false,false,false,false
lp:68:word:1,68,1,那些,2,4,lpw_abd258db99,那些,function,false,false,false,true
lp:68:word:2,68,2,大人,4,6,lpw_44dd6014a5,大人,narrative_character,false,false,false,true
lp:68:word:3,68,3,中间,6,8,,中间,,,false,false,false
lp:68:word:4,68,4,生活,8,10,,生活,,,false,false,false
lp:68:word:5,68,5,过,10,11,lpw_f777893480,过,other,false,false,true,true
lp:68:word:6,68,6,很,11,12,lpw_f2b91797ea,很,other,false,true,true,true
lp:68:word:7,68,7,长,12,13,lpw_597ae23d84,长,other,false,false,false,false
lp:68:word:8,68,8,时间,13,15,lpw_8b6ff49851,时间,time_quantity,false,false,false,false
lp:69:word:0,69,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:69:word:1,69,1,仔细,1,3,,仔细,,,false,false,false
lp:69:word:2,69,2,地,3,4,lpw_bdbd41e490,地,function,false,true,true,true
lp:69:word:3,69,3,观察,4,6,,观察,,,false,false,false
lp:69:word:4,69,4,过,6,7,lpw_f777893480,过,other,false,false,true,true
lp:69:word:5,69,5,他们,7,9,lpw_10518f8f0a,他们,pronoun,false,true,true,true
lp:70:word:0,70,0,观察,0,2,,观察,,,false,false,false
lp:70:word:1,70,1,下来,2,4,,下来,,,false,false,false
lp:70:word:2,70,2,印象,4,6,,印象,,,false,false,false
lp:70:word:3,70,3,并,6,7,,并,,,false,false,false
lp:70:word:4,70,4,没,7,8,lpw_279e8b3573,没,negation_modality,false,false,true,true
lp:70:word:5,70,5,好,8,9,lpw_f867f34178,好,other,false,false,true,true
lp:70:word:6,70,6,多少,9,11,,多少,,,false,false,false
lp:71:word:0,71,0,要是,0,2,lpw_467b2562ed,要是,function,false,false,false,true
lp:71:word:1,71,1,碰上,2,4,,碰上,,,false,false,false
lp:71:word:2,71,2,一个,4,6,lpw_e1dbc1c99f,一个,function|time_quantity,false,true,true,true
lp:71:word:3,71,3,人,6,7,lpw_50f5d65d57,人,other,false,true,true,true
lp:72:word:0,72,0,看上去,0,3,,看上去,,,false,false,false
lp:72:word:1,72,1,头脑,3,5,,头脑,,,false,false,false
lp:72:word:2,72,2,稍,5,6,,稍,,,false,false,false
lp:72:word:3,72,3,许,6,7,,许,,,false,false,false
lp:72:word:4,72,4,清楚,7,9,,清楚,,,false,false,false
lp:72:word:5,72,5,些,9,10,lpw_af76fed85c,些,other,false,false,false,false
lp:73:word:0,73,0,我,0,1,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:73:word:1,73,1,就,1,2,lpw_2f9d9872e5,就,function,false,true,true,true
lp:73:word:2,73,2,拿出,2,4,,拿出,,,false,false,false
lp:73:word:3,73,3,一直,4,6,,一直,,,false,false,false
lp:73:word:4,73,4,保存,6,8,,保存,,,false,false,false
lp:73:word:5,73,5,着,8,9,lpw_9e5bf0d2d9,着,function,false,true,true,true
lp:73:word:6,73,6,的,9,10,lpw_8af2350cfd,的,function,false,true,true,true
lp:73:word:7,73,7,作品,10,12,,作品,,,false,false,false
lp:73:word:8,73,8,一号,12,14,,一号,,,false,false,false
lp:74:word:0,74,0,让,0,1,lpw_ad37574404,让,other,false,true,true,true
lp:74:word:1,74,1,他,1,2,lpw_8b7b91e000,他,pronoun,false,true,true,true
lp:74:word:2,74,2,试试看,2,5,,试试看,,,false,false,false
lp:75:word:0,75,0,我想,0,2,lpw_42230da180,我想,other,false,false,false,false
lp:75:word:1,75,1,知道,2,4,lpw_d7b6472b11,知道,cognition,false,false,true,true
lp:76:word:0,76,0,他,0,1,lpw_8b7b91e000,他,pronoun,false,true,true,true
lp:76:word:1,76,1,是不是,1,4,,是不是,,,false,false,false
lp:76:word:2,76,2,真的,4,6,,真的,,,false,false,false
lp:76:word:3,76,3,能,6,7,lpw_413c06bcef,能,other,false,false,false,false
lp:76:word:4,76,4,看懂,7,9,,看懂,,,false,false,false
lp:77:word:0,77,0,可是,0,2,lpw_38ca4a9c76,可是,function,false,false,true,true
lp:77:word:1,77,1,人家,2,4,,人家,,,false,false,false
lp:77:word:2,77,2,总是,4,6,,总是,,,false,false,false
lp:77:word:3,77,3,回答,6,8,lpw_f3f5126487,回答,speech,false,false,true,true
lp:77:word:4,77,4,我,8,9,lpw_b70bb4acc0,我,pronoun,false,true,true,true
lp:78:word:0,78,0,这,1,2,lpw_d409ab2ab3,这,pronoun,false,true,true,true
lp:78:word:1,78,1,是,2,3,lpw_b5141d3d19,是,function,false,true,true,true
